LEGAL_ENTITY_IDENTIFIER,LEGAL_NM,SHORT_NM,ULT_PARENT_LEI,ULT_PARENT_NM,CNTRY_DOM,CNTRY_REG,ENTITY_TYP,REG_NUM,ENTITY_STAT,BIC_CD,BBG_INTERNAL_KEY
S1BERPK15WSLYQT30M60,CRESCENT AEROSPACE CORP,CRESCENT AEROSPACE,0H3CEN3P4BXW1NVJDL44,CRESCENT AEROSPACE CORP,US,US,Corporation,41150108,ACTIVE,DZZBUSPN,99HN6VGPYK
92K0L8L2QEYA4LCF5658,ALPENROSE LOGISTICS PLC,ALPENROSE LOGISTICS,LZDVTGLRP7F6Y5AD0410,ALPENROSE LOGISTICS PLC,GB,GB,Public Limited Company,00026585,ACTIVE,DBYXGBNJ,QC7A68VQSP
YD6PH8GRB0YR5WJZD788,HARBORSTONE MINING PLC,HARBORSTONE MINING,SY0R85L0FTWDZB4QX891,HARBORSTONE MINING HOLDINGS PLC,GB,GB,Corporation,35298101,ACTIVE,BBLCGBQK,97DX3CN5B9
559LY8XS7GCBEY9JWH06,KESTREL CAPITAL NV,KESTREL CAPITAL,KGXNWHQ8D3FJB95PAF09,KESTREL CAPITAL NV,NL,NL,Corporation,03148337,ACTIVE,ZTBVNL8G,GQL6J42KEN
S0ELWM599DK4D5TL3V42,REDCLIFF MARINE PLC,REDCLIFF MARINE,M5LWP2MQHYSN37H7XP83,REDCLIFF MARINE PLC,GB,GB,Aktiengesellschaft,29301524,ACTIVE,BDWBGBQJ,VYP5NPMX7A
ELHHNVZKNJZT7DX3DM96,MERIDIAN SYSTEMS KK,MERIDIAN SYSTEMS,0K9RWM2EA704BMW6J087,MERIDIAN SYSTEMS HOLDINGS KK,JP,JP,Public Limited Company,62288002,ACTIVE,VBSWJPRX,EW1YSM86JS
6QD8ZQSPH7LSB2HTJS90,BLUEPEAK PHARMA SA,BLUEPEAK PHARMA,KF9YNSBQKPL1SZWDH567,BLUEPEAK PHARMA SA,FR,FR,Corporation,32500481,ACTIVE,ZMZGFRSP,EBD85GTLFF
DLJTY9RX67C0K3G62346,ACME UTILITIES CORP,ACME UTILITIES,ZK8YJDGVWBH21JQSBX79,ACME UTILITIES CORP,US,US,Aktiengesellschaft,15646904,ACTIVE,KXMPUS7S,BTT1S4LE5H
JSHDA5M8290XDXSLT714,IRONBRIDGE CAPITAL NV,IRONBRIDGE CAPITAL,G441WDA4MTH36NWS9K22,IRONBRIDGE CAPITAL HOLDINGS NV,NL,NL,Aktiengesellschaft,13499194,ACTIVE,LZBBNLTN,4EM7CKQ0NJ
Y1RRNNJ5W84BN7CLAB71,ALPENROSE INDUSTRIALS AG,ALPENROSE INDUSTRIALS,LMB72TCZM1WQWJDE7K89,ALPENROSE INDUSTRIALS AG,DE,DE,Aktiengesellschaft,95641165,ACTIVE,KKQBDE67,RL3168C7K1
HDP1PSCS3XCF9EPCG961,SILVERLINE CAPITAL SPA,SILVERLINE CAPITAL,M96F07AW8TDQRRQD4A04,SILVERLINE CAPITAL SPA,IT,IT,Corporation,80038793,ACTIVE,TMBCIT2B,SBDGA7HKC6
69ZLW2J2AHXJ3AXKX169,STELLAR INDUSTRIALS SA,STELLAR INDUSTRIALS,420WRAX71P4B1J9GM871,STELLAR INDUSTRIALS SA,FR,FR,Corporation,68381756,ACTIVE,HMPGFRJ5,ERHTC3VR1Q
V816ECJRFJG4QVQEB854,MERIDIAN LOGISTICS AG,MERIDIAN LOGISTICS,8TW2H0DPW2RE4D7Y1V71,MERIDIAN LOGISTICS AG,DE,DE,Public Limited Company,71528180,ACTIVE,GZBKDEAV,XAGLA4YPY5
3BF4VZJ9ZWGH87QE2C83,SOLARIS CAPITAL AB,SOLARIS CAPITAL,DHVHLX83F4JFXBXD0754,SOLARIS CAPITAL HOLDINGS AB,SE,SE,Public Limited Company,94447828,ACTIVE,ZQFBSEPB,HM8PSZ5CA0
CBV5T3W4FLNNQAFXHK96,KESTREL SYSTEMS CORP,KESTREL SYSTEMS,QYPEBKP8L6PM45LQC213,KESTREL SYSTEMS CORP,US,US,Societe Anonyme,48610842,ACTIVE,QBPBUSZ7,L8S393SSJM
H09MQAJ9SNPLKPD9AL82,OAKFIELD UTILITIES NV,OAKFIELD UTILITIES,LMALQYEXRD51PC5N1Z79,OAKFIELD UTILITIES HOLDINGS NV,NL,NL,Corporation,82506603,ACTIVE,BGBDNLWN,QTXF2RM9BG
QR4WVVW2XJEFRKJWY098,OAKFIELD MATERIALS INC,OAKFIELD MATERIALS,N0YTXZZZZ4E0G50D8N71,OAKFIELD MATERIALS INC,US,US,Corporation,80909616,ACTIVE,BBBBUSP5,TMRTKGAFVC
BS9T7MBAGWV60PMLHQ73,MERIDIAN PHARMA CORP,MERIDIAN PHARMA,40367NVEE8ZKCNZ0WR67,MERIDIAN PHARMA CORP,US,US,Societe Anonyme,76054322,ACTIVE,BMFLUSZP,9RVYXBY15G
8C1ZFMM7N2R6EH3X1P17,STELLAR PHARMA AG,STELLAR PHARMA,VYTZ107LHN8BLA08QM32,STELLAR PHARMA HOLDINGS AG,DE,DE,Corporation,01340622,ACTIVE,ZVBPDEN7,6S3B260KV1
Q26LC37FV6P381YZ7C84,NORDWIND CAPITAL NV,NORDWIND CAPITAL,JJ6S0TQ8PHHADK14CP89,NORDWIND CAPITAL NV,NL,NL,Corporation,79733590,ACTIVE,GFLBNLL0,15NE7JP4ZV
2ZJ6251VAZH969QPCT07,IRONBRIDGE SYSTEMS CORP,IRONBRIDGE SYSTEMS,TJYLK4PVTMDMLG70GR64,IRONBRIDGE SYSTEMS CORP,US,US,Corporation,32003121,ACTIVE,MGBWUS7J,NNEGNW2W53
X3CQJG2V3D9YQG7QSW95,VANTAGE RETAIL GROUP AG,VANTAGE RETAIL GROUP,07D7MGFV9K7FFLYQTQ17,VANTAGE RETAIL GROUP AG,DE,DE,Public Limited Company,15741275,ACTIVE,GTMFDEBJ,3HKAT9X91C
VVQRTJ0A4JBM94EF2W15,SOLARIS RETAIL GROUP PLC,SOLARIS RETAIL GROUP,ZLCLGVLRQFD6MQDTYT78,SOLARIS RETAIL GROUP PLC,GB,GB,Societe Anonyme,96606124,ACTIVE,JBWNGB76,9RRCN2NP6A
2XLZKHHBW0L0STD8AQ95,HARBORSTONE PHARMA KK,HARBORSTONE PHARMA,5FVNDK06392QW8RTDG74,HARBORSTONE PHARMA KK,JP,JP,Aktiengesellschaft,79401612,ACTIVE,BWXBJPEZ,7RCCPYR6DN
QQ3830MRXWEZBRFS9C39,HARBORSTONE UTILITIES AG,HARBORSTONE UTILITIES,B9SYKB97L7PDQ87RNA56,HARBORSTONE UTILITIES HOLDINGS AG,DE,DE,Aktiengesellschaft,95654468,ACTIVE,TBTGDE3G,NJKZ9MPXRL
SGX42R7YWZ1KTW9HEX48,SILVERLINE LOGISTICS AB,SILVERLINE LOGISTICS,KEYYBZ8ZX2YCH06QJB90,SILVERLINE LOGISTICS AB,SE,SE,Aktiengesellschaft,54348033,ACTIVE,BEBWSE1H,BYEKZW8ZZ3
5ZHJAB7DMDZ5NW8R4298,HARBORSTONE NETWORKS SPA,HARBORSTONE NETWORKS,M2R4E3SMRDG7DB1FV206,HARBORSTONE NETWORKS SPA,IT,IT,Public Limited Company,34437775,ACTIVE,PKBJITCX,1RCWBR7PMQ
