ID_ISIN,ID_CUSIP,ID_SEDOL1,ID_BB_GLOBAL,TICKER,NAME,SECURITY_DES,MARKET_SECTOR_DES,CRNCY,CNTRY_OF_INCORPORATION,ID_MIC_PRIM_EXCH,ISSUE_DT,MATURITY,CPN,CPN_FREQ,DAY_CNT_DES,PAR_AMT,AMT_OUTSTANDING,PAYMENT_RANK,CALLABLE,PX_SETTLE_DAYS,FEED_SOURCE_ID,ROW_HASH
USA72H6LX263,458D2EGG5,3T20GP5,BBGCXKQLK3V3,CRES,CRESCENT AEROSPACE,CRESCENT AEROSPACE 5.410% 2037,Corp,USD,US,XNYS,11/12/2024,11/12/2037,5.410,Annual,30/360,1000,521639999,Senior Unsecured,N,2,BBG-SFTP-01,69ZCFA2509NM
GBQW83GXXS52,791DP8282,CXDX4N6,BBGBBEQEL8DD,ALPE,ALPENROSE LOGISTICS,ALPENROSE LOGISTICS 3.940% 2029,Corp,GBP,GB,XLON,12/18/2020,12/18/2029,3.940,Semi-Annual,ACT/360,1000,1214480000,Senior Secured,N,2,BBG-SFTP-01,8TRFF65RGYG6
GBVL5KDMR9Y3,986FC8VH4,33YXNL5,BBGAVZNG4R7M,HARB5,HARBORSTONE MINING,HARBORSTONE MINING COMMON STOCK,Equity,GBP,GB,XLON,02/17/2015,,,,,,,,N,2,BBG-SFTP-01,A76DA2RLLDRN
NLM720135YB1,612GTP173,D9XRB49,BBGJJYDH1DNF,KEST1,KESTREL CAPITAL,KESTREL CAPITAL COMMON STOCK,Equity,EUR,NL,XAMS,11/18/2022,,,,,,,,N,2,BBG-SFTP-01,WKQCS8XW5AM8
GB364WVYL3K5,567GX1H61,CKXL3V0,BBG21GBZ85S1,REDC6,REDCLIFF MARINE,REDCLIFF MARINE COMMON STOCK,Equity,GBP,GB,XLON,02/20/2016,,,,,,,,N,2,BBG-SFTP-01,2AP1YBX093EE
JP626HTXDW56,750HHHF46,3WXTDH3,BBG0SQS1CQXZ,MERI,MERIDIAN SYSTEMS,MERIDIAN SYSTEMS 4.620% 2025,Corp,JPY,JP,XTKS,12/11/2016,12/11/2025,4.620,Annual,30/360,1000,359520000,Subordinated,Y,2,BBG-SFTP-01,3PLTNFL7KZ37
FRLPTLWD3Q10,682KNEYX7,CQBY3T1,BBGCAHXT455W,BLUE9,BLUEPEAK PHARMA,BLUEPEAK PHARMA COMMON STOCK,Equity,EUR,FR,XPAR,04/25/2018,,,,,,,,N,2,BBG-SFTP-01,VYYYT1NF3Z38
US6M0EG1Z6F6,8214666H7,0KJNXD4,BBG4JDSCXGMA,ACME,ACME UTILITIES,ACME UTILITIES 7.370% 2029,Corp,USD,US,XNYS,04/04/2015,04/04/2029,7.370,Quarterly,30/360,1000,1282340000,Senior Unsecured,N,2,BBG-SFTP-01,3EDSYMST9KVC
NLFDK3NA8QY2,7238TEJD0,CQJ5KR3,BBGL7TV93659,IRON0,IRONBRIDGE CAPITAL,IRONBRIDGE CAPITAL COMMON STOCK,Equity,EUR,NL,XAMS,01/09/2017,,,,,,,,N,2,BBG-SFTP-01,Y1B0LF9HS0KR
DEKXKTCBGYY6,067SF94X8,2B10TC9,BBGCR7046MHP,ALPE,ALPENROSE INDUSTRIALS,ALPENROSE INDUSTRIALS 1.920% 2028,Corp,EUR,DE,XETR,11/17/2017,11/17/2028,1.920,Quarterly,30/360,1000,92040000,Senior Unsecured,N,2,BBG-SFTP-01,9WZZZ85H2GDT
ITPTPR3DDD90,4724JELY4,CL72093,BBGFDXX3MMD3,SILV7,SILVERLINE CAPITAL,SILVERLINE CAPITAL COMMON STOCK,Equity,EUR,IT,XMIL,09/26/2023,,,,,,,,N,2,BBG-SFTP-01,R84Q6N9GQH7Z
FRB9GALT13D6,579WPD2Z7,0TNXNR7,BBGDWAMZ7TDE,STEL,STELLAR INDUSTRIALS,STELLAR INDUSTRIALS 5.140% 2022,Corp,EUR,FR,XPAR,10/22/2017,10/22/2022,5.140,Quarterly,30/360,100000,546860000,Subordinated,Y,2,BBG-SFTP-01,6F1KEX06H5J4
DEXG9N17K3A5,608M900K5,0JWCMY5,BBGH2AWE398A,MERI,MERIDIAN LOGISTICS,MERIDIAN LOGISTICS 7.450% 2029,Corp,EUR,DE,XETR,06/13/2018,06/13/2029,7.450,Quarterly,30/360,1000,553660000,Senior Secured,Y,2,BBG-SFTP-01,9T68LVTA6S4K
SEKDVEZHAYZ3,700HKCA49,2GW0525,BBGC7AHC2NT4,SOLA6,SOLARIS CAPITAL,SOLARIS CAPITAL COMMON STOCK,Equity,SEK,SE,XSTO,12/28/2024,,,,,,,,N,2,BBG-SFTP-01,JABPE2AFQBG1
USV58RPEHA25,951Q0K354,0GS45D4,BBGRNMA3W1VS,KEST,KESTREL SYSTEMS,KESTREL SYSTEMS 0.830% 2024,Corp,USD,US,XNYS,09/19/2021,09/19/2024,0.830,Quarterly,ACT/360,1000,1146090000,Subordinated,N,2,BBG-SFTP-01,GB7RBZ46Y8F3
NLNMXPC10V12,873VH4B81,CLJKMY4,BBGEC2GL5TPE,OAKF,OAKFIELD UTILITIES,OAKFIELD UTILITIES 4.260% 2027,Corp,EUR,NL,XAMS,01/11/2021,01/11/2027,4.260,Annual,30/360,1000,545160000,Subordinated,Y,2,BBG-SFTP-01,1E9Q92DHG2Y5
USTV86QZD955,048VZD2Z1,BVY0JZ0,BBGWYQ74JGBM,OAKF,OAKFIELD MATERIALS,OAKFIELD MATERIALS 1.020% 2030,Corp,USD,US,XNYS,06/01/2021,06/01/2030,1.020,Semi-Annual,ACT/ACT,100000,1205360000,Senior Unsecured,N,2,BBG-SFTP-01,404C9STFD9JY
USWE2LQ69TW2,3132G7HG3,DX2QQK6,BBG3T983RCKG,MERI3,MERIDIAN PHARMA,MERIDIAN PHARMA COMMON STOCK,Equity,USD,US,XNYS,09/21/2022,,,,,,,,N,2,BBG-SFTP-01,8ZTXB921Y6AP
DEDMNTDFKAC5,2195LQXD2,0Z388S0,BBGRDKT69PP9,STEL,STELLAR PHARMA,STELLAR PHARMA 4.050% 2037,Corp,EUR,DE,XETR,06/26/2023,06/26/2037,4.050,Quarterly,ACT/360,1000,504660000,Senior Unsecured,N,2,BBG-SFTP-01,26255BQT5XXB
NL176X8VJF79,254AY0XD0,B5PG0M9,BBGX7W6Z26BB,NORD1,NORDWIND CAPITAL,NORDWIND CAPITAL COMMON STOCK,Equity,EUR,NL,XAMS,10/22/2021,,,,,,,,N,2,BBG-SFTP-01,B59M0SVJVSE3
US0L5G4E11F3,6037AD8E9,DS56SQ8,BBGFZKTP749W,IRON2,IRONBRIDGE SYSTEMS,IRONBRIDGE SYSTEMS COMMON STOCK,Equity,USD,US,XNYS,03/01/2021,,,,,,,,N,2,BBG-SFTP-01,J5KHH8K2LS44
DEM8DES88J27,7163PPK62,DD4HVQ8,BBGAGS737EPF,VANT,VANTAGE RETAIL GROUP,VANTAGE RETAIL GROUP 4.980% 2021,Corp,EUR,DE,XETR,09/28/2015,09/28/2021,4.980,Quarterly,ACT/360,1000,1143300000,Senior Unsecured,Y,2,BBG-SFTP-01,LJQ5FL6DSL5L
GBXSV72Z9459,912Z76RT8,C1C65X9,BBGC09SRHJMM,SOLA,SOLARIS RETAIL GROUP,SOLARIS RETAIL GROUP 5.610% 2026,Corp,GBP,GB,XLON,10/20/2016,10/20/2026,5.610,Semi-Annual,ACT/360,1000,558180000,Senior Unsecured,N,2,BBG-SFTP-01,KV0JGG6EFW51
JP73H5CARZJ5,598JQJFP7,0QKPSC5,BBGK0Y69NVGE,HARB,HARBORSTONE PHARMA,HARBORSTONE PHARMA 7.300% 2030,Corp,JPY,JP,XTKS,07/08/2015,07/08/2030,7.300,Quarterly,ACT/ACT,1000,905850000,Senior Unsecured,Y,2,BBG-SFTP-01,8TY48M5F1NRX
DEPGWY7LBBJ9,472DA9548,C6W3Z13,BBG0HQEZAJ03,HARB0,HARBORSTONE UTILITIES,HARBORSTONE UTILITIES COMMON STOCK,Equity,EUR,DE,XETR,08/16/2019,,,,,,,,N,2,BBG-SFTP-01,BX519S2EHM3B
SED0GNM9VXL7,814RKG0F7,CHRVGV6,BBG30LQHKZVC,SILV,SILVERLINE LOGISTICS,SILVERLINE LOGISTICS 5.720% 2029,Corp,SEK,SE,XSTO,03/07/2018,03/07/2029,5.720,Semi-Annual,ACT/360,1000,1068200000,Senior Secured,Y,2,BBG-SFTP-01,D9QBRVZ217BR
ITKYGQ27LKH0,248PSW7W0,C0N44C7,BBG9QR2CDQFP,HARB5,HARBORSTONE NETWORKS,HARBORSTONE NETWORKS COMMON STOCK,Equity,EUR,IT,XMIL,05/23/2024,,,,,,,,N,2,BBG-SFTP-01,XV0RD76664XA
NL1WTMQCYMM9,332STFME0,BVKXL68,BBGKKSJT1HYD,REDC1,REDCLIFF PHARMA,REDCLIFF PHARMA COMMON STOCK,Equity,EUR,NL,XAMS,04/18/2018,,,,,,,,N,2,BBG-SFTP-01,NGXF8ACSCW6X
DEV2J49RNK49,686KVGPN1,C6F6X48,BBGZ6DCSJRMN,OAKF7,OAKFIELD ENERGY,OAKFIELD ENERGY COMMON STOCK,Equity,EUR,DE,XETR,06/17/2023,,,,,,,,N,2,BBG-SFTP-01,3A6Q46N4TFPB
