ISIN_CD,CUSIP_CD,SEDOL_CD,TKR,ISSUER_NM,SEC_DESC,ASSET_CLS,CRNCY_CD,CNTRY_INC,EXCH_MIC_CD,ISS_DT,MAT_DT,CPN_RT,CPN_FREQ_CD,DAY_CNT,PAR_VAL,OUTSTD_AMT,SEN_LVL,CALL_IND,MIN_DENOM,SEC_STAT,SRC_SYS_CD,LOAD_TS
USA72H6LX263,458D2EGG5,3T20GP5,CRES,Crescent Aerospace,Crescent Aerospace 5.410% 2037,Corporate Bond,USD,US,XNYS,2024-11-12,2037-11-12,5.410,A,30/360,1000,521639999,Senior Unsecured,N,1000,Active,ICE-REF-2,2024-11-12T04:00:00Z
GBQW83GXXS52,791DP8282,CXDX4N6,ALPE,Alpenrose Logistics,Alpenrose Logistics 3.940% 2029,Corporate Bond,GBP,GB,XLON,2020-12-18,2029-12-18,3.940,S,ACT/360,1000,1214480000,Senior Secured,N,1000,Active,ICE-REF-2,2020-12-18T04:00:00Z
GBVL5KDMR9Y3,986FC8VH4,33YXNL5,HARB5,Harborstone Mining,Harborstone Mining Common Stock,Equity,GBP,GB,XLON,2015-02-17,,,,,,,,N,,Active,ICE-REF-2,2015-02-17T04:00:00Z
NLM720135YB1,612GTP173,D9XRB49,KEST1,Kestrel Capital,Kestrel Capital Common Stock,Equity,EUR,NL,XAMS,2022-11-18,,,,,,,,N,,Active,ICE-REF-2,2022-11-18T04:00:00Z
GB364WVYL3K5,567GX1H61,CKXL3V0,REDC6,Redcliff Marine,Redcliff Marine Common Stock,Equity,GBP,GB,XLON,2016-02-20,,,,,,,,N,,Matured,ICE-REF-2,2016-02-20T04:00:00Z
JP626HTXDW56,750HHHF46,3WXTDH3,MERI,Meridian Systems,Meridian Systems 4.620% 2025,Corporate Bond,JPY,JP,XTKS,2016-12-11,2025-12-11,4.620,A,30/360,1000,359520000,Subordinated,Y,1000,Matured,ICE-REF-2,2016-12-11T04:00:00Z
FRLPTLWD3Q10,682KNEYX7,CQBY3T1,BLUE9,Bluepeak Pharma,Bluepeak Pharma Common Stock,Equity,EUR,FR,XPAR,2018-04-25,,,,,,,,N,,Active,ICE-REF-2,2018-04-25T04:00:00Z
US6M0EG1Z6F6,8214666H7,0KJNXD4,ACME,Acme Utilities,Acme Utilities 7.370% 2029,Corporate Bond,USD,US,XNYS,2015-04-04,2029-04-04,7.370,Q,30/360,1000,1282340000,Senior Unsecured,N,1000,Active,ICE-REF-2,2015-04-04T04:00:00Z
NLFDK3NA8QY2,7238TEJD0,CQJ5KR3,IRON0,Ironbridge Capital,Ironbridge Capital Common Stock,Equity,EUR,NL,XAMS,2017-01-09,,,,,,,,N,,Matured,ICE-REF-2,2017-01-09T04:00:00Z
DEKXKTCBGYY6,067SF94X8,2B10TC9,ALPE,Alpenrose Industrials,Alpenrose Industrials 1.920% 2028,Corporate Bond,EUR,DE,XETR,2017-11-17,2028-11-17,1.920,Q,30/360,1000,92040000,Senior Unsecured,N,1000,Active,ICE-REF-2,2017-11-17T04:00:00Z
ITPTPR3DDD90,4724JELY4,CL72093,SILV7,Silverline Capital,Silverline Capital Common Stock,Equity,EUR,IT,XMIL,2023-09-26,,,,,,,,N,,Active,ICE-REF-2,2023-09-26T04:00:00Z
FRB9GALT13D6,579WPD2Z7,0TNXNR7,STEL,Stellar Industrials,Stellar Industrials 5.140% 2022,Corporate Bond,EUR,FR,XPAR,2017-10-22,2022-10-22,5.140,Q,30/360,100000,546860000,Subordinated,Y,100000,Active,ICE-REF-2,2017-10-22T04:00:00Z
DEXG9N17K3A5,608M900K5,0JWCMY5,MERI,Meridian Logistics,Meridian Logistics 7.450% 2029,Corporate Bond,EUR,DE,XETR,2018-06-13,2029-06-13,7.450,Q,30/360,1000,553660000,Senior Secured,Y,1000,Active,ICE-REF-2,2018-06-13T04:00:00Z
SEKDVEZHAYZ3,700HKCA49,2GW0525,SOLA6,Solaris Capital,Solaris Capital Common Stock,Equity,SEK,SE,XSTO,2024-12-28,,,,,,,,N,,Active,ICE-REF-2,2024-12-28T04:00:00Z
USV58RPEHA25,951Q0K354,0GS45D4,KEST,Kestrel Systems,Kestrel Systems 0.830% 2024,Corporate Bond,USD,US,XNYS,2021-09-19,2024-09-19,0.830,Q,ACT/360,1000,1146090000,Subordinated,N,1000,Active,ICE-REF-2,2021-09-19T04:00:00Z
NLNMXPC10V12,873VH4B81,CLJKMY4,OAKF,Oakfield Utilities,Oakfield Utilities 4.260% 2027,Corporate Bond,EUR,NL,XAMS,2021-01-11,2027-01-11,4.260,A,30/360,1000,545160000,Subordinated,Y,1000,Active,ICE-REF-2,2021-01-11T04:00:00Z
USTV86QZD955,048VZD2Z1,BVY0JZ0,OAKF,Oakfield Materials,Oakfield Materials 1.020% 2030,Corporate Bond,USD,US,XNYS,2021-06-01,2030-06-01,1.020,S,ACT/ACT,100000,1205360000,Senior Unsecured,N,100000,Active,ICE-REF-2,2021-06-01T04:00:00Z
USWE2LQ69TW2,3132G7HG3,DX2QQK6,MERI3,Meridian Pharma,Meridian Pharma Common Stock,Equity,USD,US,XNYS,2022-09-21,,,,,,,,N,,Active,ICE-REF-2,2022-09-21T04:00:00Z
DEDMNTDFKAC5,2195LQXD2,0Z388S0,STEL,Stellar Pharma,Stellar Pharma 4.050% 2037,Corporate Bond,EUR,DE,XETR,2023-06-26,2037-06-26,4.050,Q,ACT/360,1000,504660000,Senior Unsecured,N,1000,Active,ICE-REF-2,2023-06-26T04:00:00Z
NL176X8VJF79,254AY0XD0,B5PG0M9,NORD1,Nordwind Capital,Nordwind Capital Common Stock,Equity,EUR,NL,XAMS,2021-10-22,,,,,,,,N,,Matured,ICE-REF-2,2021-10-22T04:00:00Z
US0L5G4E11F3,6037AD8E9,DS56SQ8,IRON2,Ironbridge Systems,Ironbridge Systems Common Stock,Equity,USD,US,XNYS,2021-03-01,,,,,,,,N,,Matured,ICE-REF-2,2021-03-01T04:00:00Z
DEM8DES88J27,7163PPK62,DD4HVQ8,VANT,Vantage Retail Group,Vantage Retail Group 4.980% 2021,Corporate Bond,EUR,DE,XETR,2015-09-28,2021-09-28,4.980,Q,ACT/360,1000,1143300000,Senior Unsecured,Y,1000,Active,ICE-REF-2,2015-09-28T04:00:00Z
GBXSV72Z9459,912Z76RT8,C1C65X9,SOLA,Solaris Retail Group,Solaris Retail Group 5.610% 2026,Corporate Bond,GBP,GB,XLON,2016-10-20,2026-10-20,5.610,S,ACT/360,1000,558180000,Senior Unsecured,N,1000,Active,ICE-REF-2,2016-10-20T04:00:00Z
JP73H5CARZJ5,598JQJFP7,0QKPSC5,HARB,Harborstone Pharma,Harborstone Pharma 7.300% 2030,Corporate Bond,JPY,JP,XTKS,2015-07-08,2030-07-08,7.300,Q,ACT/ACT,1000,905850000,Senior Unsecured,Y,1000,Active,ICE-REF-2,2015-07-08T04:00:00Z
DEPGWY7LBBJ9,472DA9548,C6W3Z13,HARB0,Harborstone Utilities,Harborstone Utilities Common Stock,Equity,EUR,DE,XETR,2019-08-16,,,,,,,,N,,Active,ICE-REF-2,2019-08-16T04:00:00Z
SED0GNM9VXL7,814RKG0F7,CHRVGV6,SILV,Silverline Logistics,Silverline Logistics 5.720% 2029,Corporate Bond,SEK,SE,XSTO,2018-03-07,2029-03-07,5.720,S,ACT/360,1000,1068200000,Senior Secured,Y,1000,Active,ICE-REF-2,2018-03-07T04:00:00Z
ITKYGQ27LKH0,248PSW7W0,C0N44C7,HARB5,Harborstone Networks,Harborstone Networks Common Stock,Equity,EUR,IT,XMIL,2024-05-23,,,,,,,,N,,Active,ICE-REF-2,2024-05-23T04:00:00Z
NL1WTMQCYMM9,332STFME0,BVKXL68,REDC1,Redcliff Pharma,Redcliff Pharma Common Stock,Equity,EUR,NL,XAMS,2018-04-18,,,,,,,,N,,Active,ICE-REF-2,2018-04-18T04:00:00Z
DEV2J49RNK49,686KVGPN1,C6F6X48,OAKF7,Oakfield Energy,Oakfield Energy Common Stock,Equity,EUR,DE,XETR,2023-06-17,,,,,,,,N,,Matured,ICE-REF-2,2023-06-17T04:00:00Z
NL3BR549LWQ1,253DGPWP4,CN05LP6,OAKF,Oakfield Industrials,Oakfield Industrials 6.700% 2029,Corporate Bond,EUR,NL,XAMS,2016-02-24,2029-02-24,6.700,Q,30/360,1000,632610000,Senior Unsecured,N,1000,Active,ICE-REF-2,2016-02-24T04:00:00Z
