LEI,Legal Name,Short Name,Ultimate Parent LEI,Ultimate Parent Name,Country of Domicile,Jurisdiction,Legal Form,Company Registration Number,Entity Status,SWIFT BIC,PermID
S1BERPK15WSLYQT30M60,Crescent Aerospace Corp,Crescent Aerospace,0H3CEN3P4BXW1NVJDL44,Crescent Aerospace Corp,US,US,Corporation,41150108,Active,DZZBUSPN,2949699799
92K0L8L2QEYA4LCF5658,Alpenrose Logistics PLC,Alpenrose Logistics,LZDVTGLRP7F6Y5AD0410,Alpenrose Logistics PLC,GB,GB,Public Limited Company,00026585,Active,DBYXGBNJ,3840801076
YD6PH8GRB0YR5WJZD788,Harborstone Mining PLC,Harborstone Mining,SY0R85L0FTWDZB4QX891,Harborstone Mining Holdings PLC,GB,GB,Corporation,35298101,Active,BBLCGBQK,8154613931
559LY8XS7GCBEY9JWH06,Kestrel Capital NV,Kestrel Capital,KGXNWHQ8D3FJB95PAF09,Kestrel Capital NV,NL,NL,Corporation,03148337,Active,ZTBVNL8G,6652998821
S0ELWM599DK4D5TL3V42,Redcliff Marine PLC,Redcliff Marine,M5LWP2MQHYSN37H7XP83,Redcliff Marine PLC,GB,GB,Aktiengesellschaft,29301524,Active,BDWBGBQJ,4595324280
ELHHNVZKNJZT7DX3DM96,Meridian Systems KK,Meridian Systems,0K9RWM2EA704BMW6J087,Meridian Systems Holdings KK,JP,JP,Public Limited Company,62288002,Active,VBSWJPRX,4864266337
6QD8ZQSPH7LSB2HTJS90,Bluepeak Pharma SA,Bluepeak Pharma,KF9YNSBQKPL1SZWDH567,Bluepeak Pharma SA,FR,FR,Corporation,32500481,Active,ZMZGFRSP,3305838943
DLJTY9RX67C0K3G62346,Acme Utilities Corp,Acme Utilities,ZK8YJDGVWBH21JQSBX79,Acme Utilities Corp,US,US,Aktiengesellschaft,15646904,Active,KXMPUS7S,5666974056
JSHDA5M8290XDXSLT714,Ironbridge Capital NV,Ironbridge Capital,G441WDA4MTH36NWS9K22,Ironbridge Capital Holdings NV,NL,NL,Aktiengesellschaft,13499194,Active,LZBBNLTN,7578955134
Y1RRNNJ5W84BN7CLAB71,Alpenrose Industrials AG,Alpenrose Industrials,LMB72TCZM1WQWJDE7K89,Alpenrose Industrials AG,DE,DE,Aktiengesellschaft,95641165,Active,KKQBDE67,3966585350
HDP1PSCS3XCF9EPCG961,Silverline Capital SpA,Silverline Capital,M96F07AW8TDQRRQD4A04,Silverline Capital SpA,IT,IT,Corporation,80038793,Active,TMBCIT2B,1961395471
69ZLW2J2AHXJ3AXKX169,Stellar Industrials SA,Stellar Industrials,420WRAX71P4B1J9GM871,Stellar Industrials SA,FR,FR,Corporation,68381756,Active,HMPGFRJ5,3167185288
V816ECJRFJG4QVQEB854,Meridian Logistics AG,Meridian Logistics,8TW2H0DPW2RE4D7Y1V71,Meridian Logistics AG,DE,DE,Public Limited Company,71528180,Active,GZBKDEAV,3711028348
3BF4VZJ9ZWGH87QE2C83,Solaris Capital AB,Solaris Capital,DHVHLX83F4JFXBXD0754,Solaris Capital Holdings AB,SE,SE,Public Limited Company,94447828,Active,ZQFBSEPB,6139519784
CBV5T3W4FLNNQAFXHK96,Kestrel Systems Corp,Kestrel Systems,QYPEBKP8L6PM45LQC213,Kestrel Systems Corp,US,US,Societe Anonyme,48610842,Active,QBPBUSZ7,2478809993
H09MQAJ9SNPLKPD9AL82,Oakfield Utilities NV,Oakfield Utilities,LMALQYEXRD51PC5N1Z79,Oakfield Utilities Holdings NV,NL,NL,Corporation,82506603,Active,BGBDNLWN,4360412247
QR4WVVW2XJEFRKJWY098,Oakfield Materials Inc,Oakfield Materials,N0YTXZZZZ4E0G50D8N71,Oakfield Materials Inc,US,US,Corporation,80909616,Active,BBBBUSP5,7170192467
BS9T7MBAGWV60PMLHQ73,Meridian Pharma Corp,Meridian Pharma,40367NVEE8ZKCNZ0WR67,Meridian Pharma Corp,US,US,Societe Anonyme,76054322,Active,BMFLUSZP,4992595168
8C1ZFMM7N2R6EH3X1P17,Stellar Pharma AG,Stellar Pharma,VYTZ107LHN8BLA08QM32,Stellar Pharma Holdings AG,DE,DE,Corporation,01340622,Active,ZVBPDEN7,3334240746
Q26LC37FV6P381YZ7C84,Nordwind Capital NV,Nordwind Capital,JJ6S0TQ8PHHADK14CP89,Nordwind Capital NV,NL,NL,Corporation,79733590,Active,GFLBNLL0,5990225677
2ZJ6251VAZH969QPCT07,Ironbridge Systems Corp,Ironbridge Systems,TJYLK4PVTMDMLG70GR64,Ironbridge Systems Corp,US,US,Corporation,32003121,Active,MGBWUS7J,3431227154
X3CQJG2V3D9YQG7QSW95,Vantage Retail Group AG,Vantage Retail Group,07D7MGFV9K7FFLYQTQ17,Vantage Retail Group AG,DE,DE,Public Limited Company,15741275,Active,GTMFDEBJ,6301831096
VVQRTJ0A4JBM94EF2W15,Solaris Retail Group PLC,Solaris Retail Group,ZLCLGVLRQFD6MQDTYT78,Solaris Retail Group PLC,GB,GB,Societe Anonyme,96606124,Active,JBWNGB76,8896559501
2XLZKHHBW0L0STD8AQ95,Harborstone Pharma KK,Harborstone Pharma,5FVNDK06392QW8RTDG74,Harborstone Pharma KK,JP,JP,Aktiengesellschaft,79401612,Active,BWXBJPEZ,9103607107
QQ3830MRXWEZBRFS9C39,Harborstone Utilities AG,Harborstone Utilities,B9SYKB97L7PDQ87RNA56,Harborstone Utilities Holdings AG,DE,DE,Aktiengesellschaft,95654468,Active,TBTGDE3G,0122269928
SGX42R7YWZ1KTW9HEX48,Silverline Logistics AB,Silverline Logistics,KEYYBZ8ZX2YCH06QJB90,Silverline Logistics AB,SE,SE,Aktiengesellschaft,54348033,Active,BEBWSE1H,0998966067
5ZHJAB7DMDZ5NW8R4298,Harborstone Networks SpA,Harborstone Networks,M2R4E3SMRDG7DB1FV206,Harborstone Networks SpA,IT,IT,Public Limited Company,34437775,Active,PKBJITCX,1838222466
RQ0G7S0YQ06PVGQFYN95,Redcliff Pharma NV,Redcliff Pharma,ZJZLDVACYJQY8SDAS783,Redcliff Pharma NV,NL,NL,Societe Anonyme,97892279,Active,AHSDNLQE,3933044287
826JBL5Y80DTBQH6D697,Oakfield Energy AG,Oakfield Energy,6T9N6GSHD7AKC2KWW361,Oakfield Energy AG,DE,DE,Aktiengesellschaft,18038885,Active,BSBEDENM,5655130183
PB6XM3ZQ6SYRCMCJ2N41,Oakfield Industrials NV,Oakfield Industrials,75AYYPV5AERQDK3TL541,Oakfield Industrials Holdings NV,NL,NL,Corporation,36876887,Active,PBGPNLE3,3778345699
64JKG0KT6AG5K3LZ1Q12,Acme Financial SpA,Acme Financial,SKNX7HL9K32XH9QKCL79,Acme Financial SpA,IT,IT,Public Limited Company,81642875,Active,BJELITKR,2127988957
L5L06X6NRPRR86PGXA67,Meridian Aerospace SpA,Meridian Aerospace,D9V1XR12AKY63Z6Z4884,Meridian Aerospace Holdings SpA,IT,IT,Corporation,47499987,Active,QNMFITAZ,4542690674
ZET1KEKSNX0SKPCCC991,Bluepeak Retail Group PLC,Bluepeak Retail Group,R625080PYTMQEBMX4M04,Bluepeak Retail Group PLC,GB,GB,Corporation,21559850,Active,JVHEGB5N,0002152781
6B08DFQ1MC25BTLDSR37,Harborstone Aerospace Corp,Harborstone Aerospace,RDNSLCTV94W6K9YM8C04,Harborstone Aerospace Corp,US,US,Aktiengesellschaft,57910590,Active,TBKVUSS7,0382619146
7FD62YYHL9DLAZSJMX02,Ironbridge Logistics Corp,Ironbridge Logistics,NZTGAMJBBJAX8FZ16674,Ironbridge Logistics Corp,US,US,Societe Anonyme,90810046,Active,YFBBUSRL,9069153040
EQTGZA7Z64NB5PPZZ074,Acme Industrials Corp,Acme Industrials,E88V0Z52016P63J5AE80,Acme Industrials Holdings Corp,US,US,Corporation,03147786,Active,RFVBUS10,7216935622
DNRV31R3904CDPA7VZ98,Silverline Retail Group PLC,Silverline Retail Group,63PM58PARM04RN61CH84,Silverline Retail Group PLC,GB,GB,Aktiengesellschaft,46512064,Active,BZGBGBDT,8426613092
5YLCABEY4Q2JQ7TL7Y77,Silverline Industrials AG,Silverline Industrials,1CK1V6XK57ZFT4YSRD17,Silverline Industrials AG,CH,CH,Corporation,18621866,Active,ERRTCH44,8672370002
Z1ZLR269NGN9NXZCNC36,Solaris Marine PLC,Solaris Marine,2LCQTRWSD26CRRLTS857,Solaris Marine PLC,GB,GB,Societe Anonyme,88425919,Active,XLBMGBFR,1397918598
F5TKTK27GM07214DBK39,Acme Retail Group NV,Acme Retail Group,2MANPTZTRLCDVXBCB131,Acme Retail Group NV,NL,NL,Public Limited Company,50147417,Active,RWBTNLQ6,4468633048
7CZXCAR2DVFZD2AMQ195,Kestrel Marine SpA,Kestrel Marine,Q5FL1TVHN784GBXT7E33,Kestrel Marine SpA,IT,IT,Public Limited Company,25123188,Active,BFLBIT49,3956341205
WC23XZNXJ6BGW9PQ1K51,Ironbridge Pharma SpA,Ironbridge Pharma,RLJ6XXKFWV52RDH4Y286,Ironbridge Pharma SpA,IT,IT,Aktiengesellschaft,15922931,Active,AYBVIT9D,2274936973
G5B9BW9KP964XKXJW608,Meridian Capital AG,Meridian Capital,D7FNL1DQ5EGN099FHH63,Meridian Capital AG,DE,DE,Corporation,07726479,Active,KSQTDEET,3966684803
SY71VBP0FDADYZMAXY51,Acme Materials AG,Acme Materials,5X15HXFR492E5EQ5XN50,Acme Materials Holdings AG,DE,DE,Public Limited Company,30316038,Active,JWBXDE0W,7484375125
9C8G02H0MT1JQE9DRX21,Kestrel Aerospace AG,Kestrel Aerospace,Y5ETS5R7Y950624JRK41,Kestrel Aerospace AG,DE,DE,Aktiengesellschaft,43825672,Active,JXJBDE4Q,3711240759
