ISIN,CUSIP,SEDOL,RIC,Ticker Symbol,Issuer Name,Security Description,Asset Category,Currency Code,Country of Incorporation,Exchange MIC,Primary Exchange,Issue Date,Maturity Date,Coupon Rate,Coupon Frequency,Day Count Basis,Face Value,Outstanding Amount,Seniority,Callable Flag,Security Status,PermID,Quality Flag
USA72H6LX263,458D2EGG5,3T20GP5,CRES.N,CRES,Crescent Aerospace,Crescent Aerospace 5.410% 2037,Corporate Bond,USD,US,XNYS,New York Stock Exchange,2024-11-12,2037-11-12,5.410,Annual,30/360,1000,521639999,Senior Unsecured,No,Active,6377280717,A
GBQW83GXXS52,791DP8282,CXDX4N6,ALPE.L,ALPE,Alpenrose Logistics,Alpenrose Logistics 3.940% 2029,Corporate Bond,GBP,GB,XLON,London Stock Exchange,2020-12-18,2029-12-18,3.940,Semi-Annual,ACT/360,1000,1214480000,Senior Secured,No,Active,5094213380,A
GBVL5KDMR9Y3,986FC8VH4,33YXNL5,HARB.L,HARB5,Harborstone Mining,Harborstone Mining Common Stock,Equity,GBP,GB,XLON,London Stock Exchange,2015-02-17,,,,,,,,No,Active,4008578570,B
NLM720135YB1,612GTP173,D9XRB49,KEST.AS,KEST1,Kestrel Capital,Kestrel Capital Common Stock,Equity,EUR,NL,XAMS,Euronext Amsterdam,2022-11-18,,,,,,,,No,Active,2212425740,B
GB364WVYL3K5,567GX1H61,CKXL3V0,REDC.L,REDC6,Redcliff Marine,Redcliff Marine Common Stock,Equity,GBP,GB,XLON,London Stock Exchange,2016-02-20,,,,,,,,No,Matured,4261184765,A
JP626HTXDW56,750HHHF46,3WXTDH3,MERI.T,MERI,Meridian Systems,Meridian Systems 4.620% 2025,Corporate Bond,JPY,JP,XTKS,Tokyo Stock Exchange,2016-12-11,2025-12-11,4.620,Annual,30/360,1000,359520000,Subordinated,Yes,Matured,3106561375,A
FRLPTLWD3Q10,682KNEYX7,CQBY3T1,BLUE.PA,BLUE9,Bluepeak Pharma,Bluepeak Pharma Common Stock,Equity,EUR,FR,XPAR,Euronext Paris,2018-04-25,,,,,,,,No,Active,8410111565,A
US6M0EG1Z6F6,8214666H7,0KJNXD4,ACME.N,ACME,Acme Utilities,Acme Utilities 7.370% 2029,Corporate Bond,USD,US,XNYS,New York Stock Exchange,2015-04-04,2029-04-04,7.370,Quarterly,30/360,1000,1282340000,Senior Unsecured,No,Active,2173619069,A
NLFDK3NA8QY2,7238TEJD0,CQJ5KR3,IRON.AS,IRON0,Ironbridge Capital,Ironbridge Capital Common Stock,Equity,EUR,NL,XAMS,Euronext Amsterdam,2017-01-09,,,,,,,,No,Matured,8304445005,A
DEKXKTCBGYY6,067SF94X8,2B10TC9,ALPE.DE,ALPE,Alpenrose Industrials,Alpenrose Industrials 1.920% 2028,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2017-11-17,2028-11-17,1.920,Quarterly,30/360,1000,92040000,Senior Unsecured,No,Active,9861825429,B
ITPTPR3DDD90,4724JELY4,CL72093,SILV.MI,SILV7,Silverline Capital,Silverline Capital Common Stock,Equity,EUR,IT,XMIL,Borsa Italiana,2023-09-26,,,,,,,,No,Active,3242319084,B
FRB9GALT13D6,579WPD2Z7,0TNXNR7,STEL.PA,STEL,Stellar Industrials,Stellar Industrials 5.140% 2022,Corporate Bond,EUR,FR,XPAR,Euronext Paris,2017-10-22,2022-10-22,5.140,Quarterly,30/360,100000,546860000,Subordinated,Yes,Active,3278668041,A
DEXG9N17K3A5,608M900K5,0JWCMY5,MERI.DE,MERI,Meridian Logistics,Meridian Logistics 7.450% 2029,Corporate Bond,EUR,DE,XETR,Deutsche Boerse Xetra,2018-06-13,2029-06-13,7.450,Quarterly,30/360,1000,553660000,Senior Secured,Yes,Active,2297116370,A
