ISIN,Valor Number,Security Name,Instrument Type,Trading Currency,Country,Exchange,Issue Date,Redemption Date,Interest Rate,Interest Frequency,Nominal Value,Minimum Piece,Instrument Status,Listing ID
USA72H6LX263,8434913,Crescent Aerospace 5.410% 2037,Bond,USD,US,XNYS,12.11.2024,12.11.2037,5.410,Annual,1000,1000,Active,CH-4141326
GBQW83GXXS52,92741278,Alpenrose Logistics 3.940% 2029,Bond,GBP,GB,XLON,18.12.2020,18.12.2029,3.940,Semi-Annual,1000,1000,Active,CH-5432448
GBVL5KDMR9Y3,018726,Harborstone Mining Common Stock,Share,GBP,GB,XLON,17.02.2015,,,,,,Active,CH-5147192
NLM720135YB1,673456,Kestrel Capital Common Stock,Share,EUR,NL,XAMS,18.11.2022,,,,,,Active,CH-5549470
GB364WVYL3K5,290573,Redcliff Marine Common Stock,Share,GBP,GB,XLON,20.02.2016,,,,,,Matured,CH-0786593
JP626HTXDW56,6752461,Meridian Systems 4.620% 2025,Bond,JPY,JP,XTKS,11.12.2016,11.12.2025,4.620,Annual,1000,1000,Matured,CH-9979001
FRLPTLWD3Q10,4815328,Bluepeak Pharma Common Stock,Share,EUR,FR,XPAR,25.04.2018,,,,,,Active,CH-7169730
US6M0EG1Z6F6,252613,Acme Utilities 7.370% 2029,Bond,USD,US,XNYS,04.04.2015,04.04.2029,7.370,Quarterly,1000,1000,Active,CH-8298470
NLFDK3NA8QY2,99073243,Ironbridge Capital Common Stock,Share,EUR,NL,XAMS,09.01.2017,,,,,,Matured,CH-7639673
DEKXKTCBGYY6,18391185,Alpenrose Industrials 1.920% 2028,Bond,EUR,DE,XETR,17.11.2017,17.11.2028,1.920,Quarterly,1000,1000,Active,CH-6210009
ITPTPR3DDD90,0637787,Silverline Capital Common Stock,Share,EUR,IT,XMIL,26.09.2023,,,,,,Active,CH-0684211
FRB9GALT13D6,671549,Stellar Industrials 5.140% 2022,Bond,EUR,FR,XPAR,22.10.2017,22.10.2022,5.140,Quarterly,100000,100000,Active,CH-4745202
DEXG9N17K3A5,51160169,Meridian Logistics 7.450% 2029,Bond,EUR,DE,XETR,13.06.2018,13.06.2029,7.450,Quarterly,1000,1000,Active,CH-3725443
SEKDVEZHAYZ3,771840,Solaris Capital Common Stock,Share,SEK,SE,XSTO,28.12.2024,,,,,,Active,CH-2291406
USV58RPEHA25,2453117,Kestrel Systems 0.830% 2024,Bond,USD,US,XNYS,19.09.2021,19.09.2024,0.830,Quarterly,1000,1000,Active,CH-2422179
NLNMXPC10V12,54404506,Oakfield Utilities 4.260% 2027,Bond,EUR,NL,XAMS,11.01.2021,11.01.2027,4.260,Annual,1000,1000,Active,CH-7129932
USTV86QZD955,577840,Oakfield Materials 1.020% 2030,Bond,USD,US,XNYS,01.06.2021,01.06.2030,1.020,Semi-Annual,100000,100000,Active,CH-4140462
USWE2LQ69TW2,4995487,Meridian Pharma Common Stock,Share,USD,US,XNYS,21.09.2022,,,,,,Active,CH-7136205
DEDMNTDFKAC5,94276585,Stellar Pharma 4.050% 2037,Bond,EUR,DE,XETR,26.06.2023,26.06.2037,4.050,Quarterly,1000,1000,Active,CH-1296173
NL176X8VJF79,4505532,Nordwind Capital Common Stock,Share,EUR,NL,XAMS,22.10.2021,,,,,,Matured,CH-8681992
US0L5G4E11F3,956189,Ironbridge Systems Common Stock,Share,USD,US,XNYS,01.03.2021,,,,,,Matured,CH-3101002
DEM8DES88J27,6951565,Vantage Retail Group 4.980% 2021,Bond,EUR,DE,XETR,28.09.2015,28.09.2021,4.980,Quarterly,1000,1000,Active,CH-9209027
GBXSV72Z9459,5094751,Solaris Retail Group 5.610% 2026,Bond,GBP,GB,XLON,20.10.2016,20.10.2026,5.610,Semi-Annual,1000,1000,Active,CH-0455351
JP73H5CARZJ5,57020798,Harborstone Pharma 7.300% 2030,Bond,JPY,JP,XTKS,08.07.2015,08.07.2030,7.300,Quarterly,1000,1000,Active,CH-9947841
DEPGWY7LBBJ9,13306685,Harborstone Utilities Common Stock,Share,EUR,DE,XETR,16.08.2019,,,,,,Active,CH-1874297
SED0GNM9VXL7,301076,Silverline Logistics 5.720% 2029,Bond,SEK,SE,XSTO,07.03.2018,07.03.2029,5.720,Semi-Annual,1000,1000,Active,CH-0380875
ITKYGQ27LKH0,2495508,Harborstone Networks Common Stock,Share,EUR,IT,XMIL,23.05.2024,,,,,,Active,CH-8069481
NL1WTMQCYMM9,62624807,Redcliff Pharma Common Stock,Share,EUR,NL,XAMS,18.04.2018,,,,,,Active,CH-5592305
DEV2J49RNK49,1755573,Oakfield Energy Common Stock,Share,EUR,DE,XETR,17.06.2023,,,,,,Matured,CH-7858241
NL3BR549LWQ1,664577,Oakfield Industrials 6.700% 2029,Bond,EUR,NL,XAMS,24.02.2016,24.02.2029,6.700,Quarterly,1000,1000,Active,CH-0313068
ITDH5DKTENY4,191354,Acme Financial 3.720% 2024,Bond,EUR,IT,XMIL,21.02.2017,21.02.2024,3.720,Semi-Annual,1000,1000,Active,CH-8940100
IT3JVJYWC7N4,77059714,Meridian Aerospace 6.750% 2023,Bond,EUR,IT,XMIL,14.04.2020,14.04.2023,6.750,Semi-Annual,100000,100000,Active,CH-3492624
GBXVGBCLBZD9,584920,Bluepeak Retail Group 3.650% 2028,Bond,GBP,GB,XLON,19.07.2017,19.07.2028,3.650,Quarterly,1000,1000,Active,CH-9797263
USKPJ7HGLP70,4013626,Harborstone Aerospace 6.620% 2030,Bond,USD,US,XNYS,01.09.2018,01.09.2030,6.620,Annual,1000,1000,Active,CH-2134784
USSDWBBDYDA3,1062303,Ironbridge Logistics 5.270% 2037,Bond,USD,US,XNYS,15.06.2023,15.06.2037,5.270,Quarterly,100000,100000,Active,CH-7220161
UST9ZPBMNDM3,2907288,Acme Industrials Common Stock,Share,USD,US,XNYS,24.04.2019,,,,,,Active,CH-7517979
GBMYLTY3HYX3,392319,Silverline Retail Group Common Stock,Share,GBP,GB,XLON,07.07.2022,,,,,,Active,CH-9806964
CHMC0HF5MQ24,79910777,Silverline Industrials 5.080% 2021,Bond,CHF,CH,XSWX,03.04.2017,03.04.2021,5.080,Annual,1000,1000,Active,CH-9291202
GB2K2D416YE4,07302534,Solaris Marine 3.060% 2022,Bond,GBP,GB,XLON,28.04.2015,28.04.2022,3.060,Semi-Annual,1000,1000,Active,CH-7438879
NLXXD92L22K8,52426976,Acme Retail Group Common Stock,Share,EUR,NL,XAMS,04.06.2020,,,,,,Active,CH-7932234
IT3HVCSQC1Y9,561999,Kestrel Marine Common Stock,Share,EUR,IT,XMIL,02.02.2019,,,,,,Active,CH-8384218
ITNPDBXEZVC8,37881059,Ironbridge Pharma Common Stock,Share,EUR,IT,XMIL,21.06.2015,,,,,,Active,CH-0160167
DE78GA7SB9Q9,71105234,Meridian Capital 4.150% 2023,Bond,EUR,DE,XETR,01.09.2018,01.09.2023,4.150,Quarterly,1000,1000,Active,CH-9378876
DEMBQ6AB67Q7,805424,Acme Materials 2.700% 2030,Bond,EUR,DE,XETR,15.09.2016,15.09.2030,2.700,Quarterly,1000,1000,Active,CH-0401536
DEFZPJ85Z838,359471,Kestrel Aerospace 6.780% 2033,Bond,EUR,DE,XETR,27.09.2019,27.09.2033,6.780,Annual,100000,100000,Active,CH-6861833
DE3EXRSG6WC0,011652,Redcliff Mining 4.470% 2034,Bond,EUR,DE,XETR,21.06.2020,21.06.2034,4.470,Quarterly,100000,100000,Active,CH-4846186
CHAT7XWFA0E5,204614,Crescent Materials Common Stock,Share,CHF,CH,XSWX,19.01.2017,,,,,,Active,CH-5722218
GBLGC42Q5ZJ7,18895907,Ironbridge Energy Common Stock,Share,GBP,GB,XLON,14.11.2023,,,,,,Active,CH-2545606
NLG6AXW9VBW5,572119,Harborstone Capital 0.610% 2027,Bond,EUR,NL,XAMS,11.01.2022,11.01.2027,0.610,Annual,1000,1000,Active,CH-0410412
IT18E0FYG5X9,2267014,Redcliff Foods Common Stock,Share,EUR,IT,XMIL,17.10.2015,,,,,,Matured,CH-1174205
